timestamp,sp_id,sr_id,sr_type,T_D,T_I,Trust
0,0,2,15,1.0,0.75,0.875
0,0,44,10,1.0,0.75,0.875
0,1,2,15,1.0,0.8333333333333333,0.9166666666666666
0,1,44,10,1.0,0.8333333333333333,0.9166666666666666
0,2,27,10,1.0,0.75,0.875
0,2,44,10,1.0,0.875,0.9375
0,3,44,10,1.0,0.9,0.95
0,4,44,10,1.0,0.9166666666666667,0.9583333333333334
0,5,44,10,1.0,0.9285714285714285,0.9642857142857142
0,6,44,10,1.0,0.9375,0.96875
0,7,44,10,1.0,0.9444444444444444,0.9722222222222222
0,8,44,10,1.0,0.9500000000000001,0.9750000000000001
0,9,44,10,1.0,0.9545454545454545,0.9772727272727273
0,10,44,10,1.0,0.9583333333333333,0.9791666666666666
0,11,44,10,1.0,0.9615384615384616,0.9807692307692308
0,12,44,10,1.0,0.9642857142857143,0.9821428571428572
0,13,44,10,1.0,0.9666666666666667,0.9833333333333334
0,14,44,10,1.0,0.96875,0.984375
0,15,44,10,1.0,0.9705882352941176,0.9852941176470589
0,16,44,10,1.0,0.9722222222222222,0.9861111111111112
0,17,44,10,1.0,0.9736842105263157,0.9868421052631579
0,18,2,15,1.0,0.875,0.9375
0,18,27,10,1.0,0.8333333333333333,0.9166666666666666
0,18,30,14,1.0,0.75,0.875
0,18,31,14,1.0,0.75,0.875
0,18,32,14,1.0,0.75,0.875
0,18,41,14,1.0,0.75,0.875
0,18,44,10,1.0,0.975,0.9875
0,18,48,9,1.0,0.75,0.875
0,19,44,10,1.0,0.9761904761904762,0.9880952380952381
0,20,44,10,1.0,0.9772727272727273,0.9886363636363636
0,21,2,15,1.0,0.9,0.95
0,21,27,10,1.0,0.875,0.9375
0,21,44,10,1.0,0.9782608695652174,0.9891304347826086
0,22,44,10,1.0,0.9791666666666667,0.9895833333333334
0,23,27,10,1.0,0.9,0.95
0,23,30,14,1.0,0.8333333333333333,0.9166666666666666
0,23,31,14,1.0,0.8333333333333333,0.9166666666666666
0,23,32,14,1.0,0.8333333333333333,0.9166666666666666
0,23,44,10,1.0,0.98,0.99
0,24,44,10,1.0,0.9807692307692308,0.9903846153846154
0,25,44,10,1.0,0.9814814814814814,0.9907407407407407
0,26,2,15,1.0,0.9166666666666667,0.9583333333333334
0,26,44,10,1.0,0.9821428571428572,0.9910714285714286
0,27,2,15,1.0,0.9285714285714285,0.9642857142857142
0,27,30,14,1.0,0.875,0.9375
0,27,31,14,1.0,0.875,0.9375
0,27,32,14,1.0,0.875,0.9375
0,27,44,10,1.0,0.9827586206896552,0.9913793103448276
0,28,2,15,1.0,0.9375,0.96875
0,28,44,10,1.0,0.9833333333333334,0.9916666666666667
0,29,30,14,1.0,0.9,0.95
0,29,31,14,1.0,0.9,0.95
0,29,32,14,1.0,0.9,0.95
0,29,41,14,1.0,0.8333333333333333,0.9166666666666666
0,29,44,10,1.0,0.9838709677419355,0.9919354838709677
0,30,27,10,1.0,0.9166666666666667,0.9583333333333334
0,30,31,14,1.0,0.9166666666666667,0.9583333333333334
0,30,32,14,1.0,0.9166666666666667,0.9583333333333334
0,30,41,14,1.0,0.875,0.9375
0,30,44,10,1.0,0.984375,0.9921875
0,31,27,10,1.0,0.9285714285714285,0.9642857142857142
0,31,30,14,1.0,0.9166666666666667,0.9583333333333334
0,31,32,14,1.0,0.9285714285714285,0.9642857142857142
0,31,41,14,1.0,0.9,0.95
0,31,44,10,1.0,0.9848484848484849,0.9924242424242424
0,32,27,10,1.0,0.9375,0.96875
0,32,30,14,1.0,0.9285714285714285,0.9642857142857142
0,32,31,14,1.0,0.9285714285714285,0.9642857142857142
0,32,41,14,1.0,0.9166666666666667,0.9583333333333334
0,32,44,10,1.0,0.9852941176470588,0.9926470588235294
0,33,27,10,1.0,0.9444444444444444,0.9722222222222222
0,33,30,14,1.0,0.9375,0.96875
0,33,31,14,1.0,0.9375,0.96875
0,33,32,14,1.0,0.9375,0.96875
0,33,41,14,1.0,0.9285714285714285,0.9642857142857142
0,33,44,10,1.0,0.9857142857142857,0.9928571428571429
0,34,27,10,1.0,0.9500000000000001,0.9750000000000001
0,34,30,14,1.0,0.9444444444444444,0.9722222222222222
0,34,31,14,1.0,0.9444444444444444,0.9722222222222222
0,34,32,14,1.0,0.9444444444444444,0.9722222222222222
0,34,41,14,1.0,0.9375,0.96875
0,34,44,10,1.0,0.986111111111111,0.9930555555555556
0,35,27,10,1.0,0.9545454545454545,0.9772727272727273
0,35,30,14,1.0,0.9500000000000001,0.9750000000000001
