timestamp,sp_id,sr_id,sr_type,T_D,T_I,Trust
0,0,133,1,1.0,0.75,0.875
0,0,596,15,1.0,0.75,0.875
0,0,1140,14,1.0,0.75,0.875
0,5,169,1,1.0,0.75,0.875
0,5,177,1,1.0,0.75,0.875
0,5,182,1,1.0,0.75,0.875
0,5,610,15,1.0,0.75,0.875
0,5,615,15,1.0,0.75,0.875
0,5,900,15,1.0,0.75,0.875
0,5,938,15,1.0,0.75,0.875
0,7,108,1,1.0,0.75,0.875
0,8,7,1,1.0,0.75,0.875
0,8,49,1,1.0,0.75,0.875
0,8,81,1,1.0,0.75,0.875
0,8,108,1,1.0,0.8333333333333333,0.9166666666666666
0,8,111,1,1.0,0.75,0.875
0,8,280,2,1.0,0.75,0.875
0,11,198,2,1.0,0.75,0.875
0,12,108,1,1.0,0.875,0.9375
0,12,146,1,1.0,0.75,0.875
0,13,283,2,1.0,0.75,0.875
0,16,20,1,1.0,0.75,0.875
0,19,169,1,1.0,0.8333333333333333,0.9166666666666666
0,20,141,1,1.0,0.75,0.875
0,21,20,1,1.0,0.8333333333333333,0.9166666666666666
0,23,169,1,1.0,0.875,0.9375
0,23,370,15,1.0,0.75,0.875
0,23,701,15,1.0,0.75,0.875
0,23,707,15,1.0,0.75,0.875
0,23,986,15,1.0,0.75,0.875
0,23,1183,14,1.0,0.75,0.875
0,24,141,1,1.0,0.8333333333333333,0.9166666666666666
0,24,262,2,1.0,0.75,0.875
0,25,47,1,1.0,0.75,0.875
0,25,159,1,1.0,0.75,0.875
0,25,482,15,1.0,0.75,0.875
0,25,564,15,1.0,0.75,0.875
0,25,567,15,1.0,0.75,0.875
0,25,571,15,1.0,0.75,0.875
0,25,580,15,1.0,0.75,0.875
0,25,587,15,1.0,0.75,0.875
0,25,589,15,1.0,0.75,0.875
0,25,596,15,1.0,0.8333333333333333,0.9166666666666666
0,25,819,15,1.0,0.75,0.875
0,25,1013,12,1.0,0.75,0.875
0,25,1016,12,1.0,0.75,0.875
0,25,1042,14,1.0,0.75,0.875
0,25,1105,14,1.0,0.75,0.875
0,25,1124,14,1.0,0.75,0.875
0,25,1125,14,1.0,0.75,0.875
0,25,1140,14,1.0,0.8333333333333333,0.9166666666666666
0,25,1193,10,1.0,0.75,0.875
0,25,1196,14,1.0,0.75,0.875
0,25,1199,10,1.0,0.75,0.875
0,26,61,1,1.0,0.75,0.875
0,26,163,1,1.0,0.75,0.875
0,27,133,1,1.0,0.8333333333333333,0.9166666666666666
0,28,65,1,1.0,0.75,0.875
0,28,108,1,1.0,0.9,0.95
0,28,141,1,1.0,0.875,0.9375
0,28,159,1,1.0,0.8333333333333333,0.9166666666666666
0,28,258,2,1.0,0.75,0.875
0,28,1292,11,1.0,0.75,0.875
0,29,169,1,1.0,0.9,0.95
0,29,1117,14,1.0,0.75,0.875
0,29,1206,14,1.0,0.75,0.875
0,30,263,2,1.0,0.75,0.875
0,31,12,1,1.0,0.75,0.875
0,31,108,1,1.0,0.9166666666666667,0.9583333333333334
0,31,272,2,1.0,0.75,0.875
0,32,46,1,1.0,0.75,0.875
0,35,286,2,1.0,0.75,0.875
0,36,216,2,1.0,0.75,0.875
0,37,7,1,1.0,0.8333333333333333,0.9166666666666666
0,37,12,1,1.0,0.8333333333333333,0.9166666666666666
0,37,81,1,1.0,0.8333333333333333,0.9166666666666666
0,38,60,1,1.0,0.75,0.875
0,39,239,2,1.0,0.75,0.875
0,41,141,1,1.0,0.9,0.95
0,42,46,1,1.0,0.8333333333333333,0.9166666666666666
0,42,65,1,1.0,0.8333333333333333,0.9166666666666666
0,42,108,1,1.0,0.9285714285714285,0.9642857142857142
0,42,127,1,1.0,0.75,0.875
0,42,167,1,1.0,0.75,0.875
0,42,195,1,1.0,0.75,0.875
0,42,258,2,1.0,0.8333333333333333,0.9166666666666666
0,42,382,15,1.0,0.75,0.875
0,42,391,15,1.0,0.75,0.875
0,42,393,15,1.0,0.75,0.875
0,42,414,15,1.0,0.75,0.875
0,42,419,15,1.0,0.75,0.875
0,42,424,15,1.0,0.75,0.875
0,42,610,15,1.0,0.8333333333333333,0.9166666666666666
0,42,611,15,1.0,0.75,0.875
0,42,615,15,1.0,0.8333333333333333,0.9166666666666666
0,42,658,15,1.0,0.75,0.875
0,42,660,15,1.0,0.75,0.875
0,42,663,15,1.0,0.75,0.875
0,42,683,15,1.0,0.75,0.875
0,42,768,15,1.0,0.75,0.875
0,42,824,15,1.0,0.75,0.875
0,42,833,15,1.0,0.75,0.875
0,42,927,15,1.0,0.75,0.875
0,42,928,15,1.0,0.75,0.875
0,42,930,15,1.0,0.75,0.875
0,42,939,15,1.0,0.75,0.875
0,42,943,15,1.0,0.75,0.875
0,42,948,15,1.0,0.75,0.875
0,42,951,15,1.0,0.75,0.875
0,42,953,15,1.0,0.75,0.875
0,42,955,15,1.0,0.75,0.875
0,42,957,15,1.0,0.75,0.875
0,42,964,15,1.0,0.75,0.875
0,42,969,15,1.0,0.75,0.875
0,42,970,15,1.0,0.75,0.875
0,42,973,15,1.0,0.75,0.875
0,42,977,15,1.0,0.75,0.875
0,42,980,15,1.0,0.75,0.875
0,42,981,15,1.0,0.75,0.875
0,42,984,15,1.0,0.75,0.875
0,42,985,15,1.0,0.75,0.875
0,42,1017,12,1.0,0.75,0.875
0,42,1135,14,1.0,0.75,0.875
0,42,1292,11,1.0,0.8333333333333333,0.9166666666666666
0,43,102,1,1.0,0.75,0.875
0,43,141,1,1.0,0.9166666666666667,0.9583333333333334
0,44,230,2,1.0,0.75,0.875
0,45,47,1,1.0,0.8333333333333333,0.9166666666666666
0,45,226,2,1.0,0.75,0.875
0,45,436,15,1.0,0.75,0.875
0,45,564,15,1.0,0.8333333333333333,0.9166666666666666
0,45,571,15,1.0,0.8333333333333333,0.9166666666666666
0,45,589,15,1.0,0.8333333333333333,0.9166666666666666
0,45,619,15,1.0,0.75,0.875
0,45,620,15,1.0,0.75,0.875
0,45,625,15,1.0,0.75,0.875
0,45,628,15,1.0,0.75,0.875
0,45,736,15,1.0,0.75,0.875
0,45,737,15,1.0,0.75,0.875
0,45,768,15,1.0,0.8333333333333333,0.9166666666666666
0,45,769,15,1.0,0.75,0.875
0,45,773,15,1.0,0.75,0.875
0,45,775,15,1.0,0.75,0.875
0,45,779,15,1.0,0.75,0.875
0,45,819,15,1.0,0.8333333333333333,0.9166666666666666
0,45,852,15,1.0,0.75,0.875
0,45,1015,12,1.0,0.75,0.875
0,45,1016,12,1.0,0.8333333333333333,0.9166666666666666
0,45,1117,14,1.0,0.8333333333333333,0.9166666666666666
0,45,1124,14,1.0,0.8333333333333333,0.9166666666666666
0,45,1125,14,1.0,0.8333333333333333,0.9166666666666666
0,45,1140,14,1.0,0.875,0.9375
0,45,1195,14,1.0,0.75,0.875
0,45,1199,10,1.0,0.8333333333333333,0.9166666666666666
0,45,1206,14,1.0,0.8333333333333333,0.9166666666666666
0,45,1255,14,1.0,0.75,0.875
0,46,141,1,1.0,0.9285714285714285,0.9642857142857142
0,46,258,2,1.0,0.875,0.9375
0,46,323,4,1.0,0.75,0.875
0,47,159,1,1.0,0.875,0.9375
0,47,248,2,1.0,0.75,0.875
0,48,182,1,1.0,0.8333333333333333,0.9166666666666666
0,48,660,15,1.0,0.8333333333333333,0.9166666666666666
0,48,663,15,1.0,0.8333333333333333,0.9166666666666666
0,48,957,15,1.0,0.8333333333333333,0.9166666666666666
0,48,969,15,1.0,0.8333333333333333,0.9166666666666666
0,48,970,15,1.0,0.8333333333333333,0.9166666666666666
0,48,973,15,1.0,0.8333333333333333,0.9166666666666666
0,49,108,1,1.0,0.9375,0.96875
0,51,60,1,1.0,0.8333333333333333,0.9166666666666666
0,51,133,1,1.0,0.875,0.9375
0,51,1156,14,1.0,0.75,0.875
0,52,159,1,1.0,0.9,0.95
0,52,163,1,1.0,0.8333333333333333,0.9166666666666666
0,52,182,1,1.0,0.875,0.9375
0,52,587,15,1.0,0.8333333333333333,0.9166666666666666
0,52,589,15,1.0,0.875,0.9375
0,52,596,15,1.0,0.875,0.9375
0,52,1016,12,1.0,0.875,0.9375
0,52,1042,14,1.0,0.8333333333333333,0.9166666666666666
0,52,1105,14,1.0,0.8333333333333333,0.9166666666666666
0,52,1117,14,1.0,0.875,0.9375
0,52,1124,14,1.0,0.875,0.9375
0,52,1125,14,1.0,0.875,0.9375
0,52,1140,14,1.0,0.9,0.95
0,53,75,1,1.0,0.75,0.875
0,53,141,1,1.0,0.9375,0.96875
0,54,47,1,1.0,0.875,0.9375
0,54,102,1,1.0,0.8333333333333333,0.9166666666666666
0,55,141,1,1.0,0.9444444444444444,0.9722222222222222
0,55,159,1,1.0,0.9166666666666667,0.9583333333333334
0,55,163,1,1.0,0.875,0.9375
0,55,182,1,1.0,0.9,0.95
0,55,223,2,1.0,0.75,0.875
0,56,20,1,1.0,0.875,0.9375
0,56,108,1,1.0,0.9444444444444444,0.9722222222222222
0,56,146,1,1.0,0.8333333333333333,0.9166666666666666
0,56,159,1,1.0,0.9285714285714285,0.9642857142857142
0,57,226,2,1.0,0.8333333333333333,0.9166666666666666
0,60,141,1,1.0,0.9500000000000001,0.9750000000000001
0,60,195,1,1.0,0.8333333333333333,0.9166666666666666
0,63,169,1,1.0,0.9166666666666667,0.9583333333333334
0,63,177,1,1.0,0.8333333333333333,0.9166666666666666
0,63,393,15,1.0,0.8333333333333333,0.9166666666666666
0,63,397,15,1.0,0.75,0.875
0,63,399,15,1.0,0.75,0.875
0,63,400,15,1.0,0.75,0.875
0,63,401,15,1.0,0.75,0.875
0,63,409,15,1.0,0.75,0.875
0,63,638,15,1.0,0.75,0.875
0,63,675,15,1.0,0.75,0.875
0,63,719,15,1.0,0.75,0.875
0,63,824,15,1.0,0.8333333333333333,0.9166666666666666
0,63,861,15,1.0,0.75,0.875
0,63,863,15,1.0,0.75,0.875
0,63,875,15,1.0,0.75,0.875
0,63,879,15,1.0,0.75,0.875
0,63,881,15,1.0,0.75,0.875
0,63,883,15,1.0,0.75,0.875
0,63,903,15,1.0,0.75,0.875
0,63,938,15,1.0,0.8333333333333333,0.9166666666666666
0,63,939,15,1.0,0.8333333333333333,0.9166666666666666
0,63,964,15,1.0,0.8333333333333333,0.9166666666666666
0,63,977,15,1.0,0.8333333333333333,0.9166666666666666
0,63,980,15,1.0,0.8333333333333333,0.9166666666666666
0,63,981,15,1.0,0.8333333333333333,0.9166666666666666
0,63,990,15,1.0,0.75,0.875
0,63,991,15,1.0,0.75,0.875
0,63,995,15,1.0,0.75,0.875
0,63,998,15,1.0,0.75,0.875
0,63,1021,14,1.0,0.75,0.875
0,63,1063,14,1.0,0.75,0.875
0,63,1208,14,1.0,0.75,0.875
0,64,49,1,1.0,0.8333333333333333,0.9166666666666666
0,64,60,1,1.0,0.875,0.9375
0,64,108,1,1.0,0.9500000000000001,0.9750000000000001
0,64,141,1,1.0,0.9545454545454545,0.9772727272727273
0,64,163,1,1.0,0.9,0.95
0,65,108,1,1.0,0.9545454545454545,0.9772727272727273
0,65,1292,11,1.0,0.875,0.9375
0,66,1156,14,1.0,0.8333333333333333,0.9166666666666666
0,69,163,1,1.0,0.9166666666666667,0.9583333333333334
0,70,47,1,1.0,0.9,0.95
0,70,279,2,1.0,0.75,0.875
0,70,382,15,1.0,0.8333333333333333,0.9166666666666666
0,70,391,15,1.0,0.8333333333333333,0.9166666666666666
0,70,393,15,1.0,0.875,0.9375
0,70,419,15,1.0,0.8333333333333333,0.9166666666666666
0,70,424,15,1.0,0.8333333333333333,0.9166666666666666
0,70,436,15,1.0,0.8333333333333333,0.9166666666666666
0,70,555,15,1.0,0.75,0.875
0,70,557,15,1.0,0.75,0.875
0,70,560,15,1.0,0.75,0.875
0,70,564,15,1.0,0.875,0.9375
0,70,567,15,1.0,0.8333333333333333,0.9166666666666666
0,70,571,15,1.0,0.875,0.9375
0,70,610,15,1.0,0.875,0.9375
0,70,611,15,1.0,0.8333333333333333,0.9166666666666666
0,70,615,15,1.0,0.875,0.9375
0,70,619,15,1.0,0.8333333333333333,0.9166666666666666
0,70,620,15,1.0,0.8333333333333333,0.9166666666666666
0,70,625,15,1.0,0.8333333333333333,0.9166666666666666
0,70,628,15,1.0,0.8333333333333333,0.9166666666666666
0,70,646,15,1.0,0.75,0.875
0,70,654,15,1.0,0.75,0.875
0,70,683,15,1.0,0.8333333333333333,0.9166666666666666
0,70,736,15,1.0,0.8333333333333333,0.9166666666666666
0,70,737,15,1.0,0.8333333333333333,0.9166666666666666
0,70,761,15,1.0,0.75,0.875
0,70,768,15,1.0,0.875,0.9375
0,70,769,15,1.0,0.8333333333333333,0.9166666666666666
0,70,773,15,1.0,0.8333333333333333,0.9166666666666666
0,70,775,15,1.0,0.8333333333333333,0.9166666666666666
0,70,779,15,1.0,0.8333333333333333,0.9166666666666666
0,70,819,15,1.0,0.875,0.9375
0,70,824,15,1.0,0.875,0.9375
0,70,833,15,1.0,0.8333333333333333,0.9166666666666666
0,70,849,15,1.0,0.75,0.875
0,70,852,15,1.0,0.8333333333333333,0.9166666666666666
0,70,900,15,1.0,0.8333333333333333,0.9166666666666666
0,70,927,15,1.0,0.8333333333333333,0.9166666666666666
0,70,928,15,1.0,0.8333333333333333,0.9166666666666666
0,70,930,15,1.0,0.8333333333333333,0.9166666666666666
0,70,939,15,1.0,0.875,0.9375
0,70,943,15,1.0,0.8333333333333333,0.9166666666666666
0,70,948,15,1.0,0.8333333333333333,0.9166666666666666
0,70,977,15,1.0,0.875,0.9375
0,70,980,15,1.0,0.875,0.9375
0,70,981,15,1.0,0.875,0.9375
0,70,984,15,1.0,0.8333333333333333,0.9166666666666666
0,70,985,15,1.0,0.8333333333333333,0.9166666666666666
0,70,1015,12,1.0,0.8333333333333333,0.9166666666666666
0,70,1042,14,1.0,0.875,0.9375
0,70,1063,14,1.0,0.8333333333333333,0.9166666666666666
0,70,1105,14,1.0,0.875,0.9375
0,70,1124,14,1.0,0.9,0.95
0,70,1125,14,1.0,0.9,0.95
0,70,1195,14,1.0,0.8333333333333333,0.9166666666666666
0,70,1196,14,1.0,0.8333333333333333,0.9166666666666666
0,70,1197,14,1.0,0.75,0.875
0,70,1198,14,1.0,0.75,0.875
0,70,1255,14,1.0,0.8333333333333333,0.9166666666666666
0,71,199,2,1.0,0.75,0.875
0,71,226,2,1.0,0.875,0.9375
0,71,544,15,1.0,0.75,0.875
0,71,719,15,1.0,0.8333333333333333,0.9166666666666666
0,71,744,15,1.0,0.75,0.875
0,71,745,15,1.0,0.75,0.875
0,71,788,15,1.0,0.75,0.875
0,71,790,15,1.0,0.75,0.875
0,72,204,2,1.0,0.75,0.875
0,72,351,4,1.0,0.75,0.875
0,73,61,1,1.0,0.8333333333333333,0.9166666666666666
0,73,141,1,1.0,0.9583333333333333,0.9791666666666666
0,73,163,1,1.0,0.9285714285714285,0.9642857142857142
0,75,102,1,1.0,0.875,0.9375
0,75,159,1,1.0,0.9375,0.96875
0,75,270,2,1.0,0.75,0.875
0,75,1049,14,1.0,0.75,0.875
0,75,1065,14,1.0,0.75,0.875
0,75,1067,14,1.0,0.75,0.875
0,75,1097,14,1.0,0.75,0.875
0,76,212,2,1.0,0.75,0.875
0,80,12,1,1.0,0.875,0.9375
0,80,65,1,1.0,0.875,0.9375
0,80,141,1,1.0,0.9615384615384616,0.9807692307692308
0,81,146,1,1.0,0.875,0.9375
0,82,350,4,1.0,0.75,0.875
0,83,81,1,1.0,0.875,0.9375
0,83,108,1,1.0,0.9583333333333333,0.9791666666666666
0,84,370,15,1.0,0.8333333333333333,0.9166666666666666
0,84,491,15,1.0,0.75,0.875
0,84,496,15,1.0,0.75,0.875
0,84,498,15,1.0,0.75,0.875
0,84,695,15,1.0,0.75,0.875
0,84,697,15,1.0,0.75,0.875
0,84,699,15,1.0,0.75,0.875
0,84,700,15,1.0,0.75,0.875
0,84,701,15,1.0,0.8333333333333333,0.9166666666666666
0,84,707,15,1.0,0.8333333333333333,0.9166666666666666
0,84,986,15,1.0,0.8333333333333333,0.9166666666666666
0,84,1183,14,1.0,0.8333333333333333,0.9166666666666666
0,84,1257,14,1.0,0.75,0.875
0,86,75,1,1.0,0.8333333333333333,0.9166666666666666
0,86,258,2,1.0,0.9,0.95
0,86,355,4,1.0,0.75,0.875
0,88,226,2,1.0,0.9,0.95
0,89,102,1,1.0,0.9,0.95
0,89,141,1,1.0,0.9642857142857143,0.9821428571428572
0,89,195,1,1.0,0.875,0.9375
0,89,226,2,1.0,0.9166666666666667,0.9583333333333334
0,89,414,15,1.0,0.8333333333333333,0.9166666666666666
0,89,419,15,1.0,0.875,0.9375
0,89,424,15,1.0,0.875,0.9375
0,89,658,15,1.0,0.8333333333333333,0.9166666666666666
0,89,660,15,1.0,0.875,0.9375
0,89,663,15,1.0,0.875,0.9375
0,89,683,15,1.0,0.875,0.9375
0,89,928,15,1.0,0.875,0.9375
0,89,930,15,1.0,0.875,0.9375
0,89,943,15,1.0,0.875,0.9375
0,89,948,15,1.0,0.875,0.9375
0,89,951,15,1.0,0.8333333333333333,0.9166666666666666
0,89,953,15,1.0,0.8333333333333333,0.9166666666666666
0,89,955,15,1.0,0.8333333333333333,0.9166666666666666
0,89,957,15,1.0,0.875,0.9375
0,89,969,15,1.0,0.875,0.9375
0,89,970,15,1.0,0.875,0.9375
0,89,973,15,1.0,0.875,0.9375
0,89,980,15,1.0,0.9,0.95
0,89,981,15,1.0,0.9,0.95
0,89,1017,12,1.0,0.8333333333333333,0.9166666666666666
0,89,1135,14,1.0,0.8333333333333333,0.9166666666666666
0,89,1292,11,1.0,0.9,0.95
0,91,46,1,1.0,0.875,0.9375
0,91,60,1,1.0,0.9,0.95
0,91,133,1,1.0,0.9,0.95
0,91,142,1,1.0,0.75,0.875
0,91,190,1,1.0,0.75,0.875
0,92,7,1,1.0,0.875,0.9375
0,92,12,1,1.0,0.9,0.95
0,92,61,1,1.0,0.875,0.9375
0,92,65,1,1.0,0.9,0.95
0,92,108,1,1.0,0.9615384615384616,0.9807692307692308
0,92,159,1,1.0,0.9444444444444444,0.9722222222222222
0,94,7,1,1.0,0.9,0.95
0,95,60,1,1.0,0.9166666666666667,0.9583333333333334
0,95,998,15,1.0,0.8333333333333333,0.9166666666666666
0,96,133,1,1.0,0.9166666666666667,0.9583333333333334
0,96,141,1,1.0,0.9666666666666667,0.9833333333333334
0,97,159,1,1.0,0.9500000000000001,0.9750000000000001
0,99,482,15,1.0,0.8333333333333333,0.9166666666666666
0,99,574,15,1.0,0.75,0.875
0,99,575,15,1.0,0.75,0.875
0,99,580,15,1.0,0.8333333333333333,0.9166666666666666
0,99,587,15,1.0,0.875,0.9375
0,99,589,15,1.0,0.9,0.95
0,99,596,15,1.0,0.9,0.95
0,99,812,15,1.0,0.75,0.875
0,99,819,15,1.0,0.9,0.95
0,99,1013,12,1.0,0.8333333333333333,0.9166666666666666
0,99,1105,14,1.0,0.9,0.95
0,99,1193,10,1.0,0.8333333333333333,0.9166666666666666
0,99,1199,10,1.0,0.875,0.9375
0,100,88,1,1.0,0.75,0.875
0,100,226,2,1.0,0.9285714285714285,0.9642857142857142
0,101,414,15,1.0,0.875,0.9375
0,101,419,15,1.0,0.9,0.95
0,101,658,15,1.0,0.875,0.9375
0,101,660,15,1.0,0.9,0.95
0,101,663,15,1.0,0.9,0.95
0,101,928,15,1.0,0.9,0.95
0,101,930,15,1.0,0.9,0.95
0,101,951,15,1.0,0.875,0.9375
0,101,953,15,1.0,0.875,0.9375
0,101,955,15,1.0,0.875,0.9375
0,101,957,15,1.0,0.9,0.95
0,101,969,15,1.0,0.9,0.95
0,101,970,15,1.0,0.9,0.95
0,101,973,15,1.0,0.9,0.95
0,101,1017,12,1.0,0.875,0.9375
0,101,1135,14,1.0,0.875,0.9375
0,102,75,1,1.0,0.875,0.9375
0,102,159,1,1.0,0.9545454545454545,0.9772727272727273
0,102,414,15,1.0,0.9,0.95
0,102,419,15,1.0,0.9166666666666667,0.9583333333333334
0,102,683,15,1.0,0.9,0.95
0,102,928,15,1.0,0.9166666666666667,0.9583333333333334
0,102,930,15,1.0,0.9166666666666667,0.9583333333333334
0,102,948,15,1.0,0.9,0.95
0,102,951,15,1.0,0.9,0.95
0,102,1017,12,1.0,0.9,0.95
0,102,1206,14,1.0,0.875,0.9375
0,104,119,1,1.0,0.75,0.875
0,104,226,2,1.0,0.9375,0.96875
0,105,20,1,1.0,0.9,0.95
0,105,65,1,1.0,0.9166666666666667,0.9583333333333334
0,105,127,1,1.0,0.8333333333333333,0.9166666666666666
0,105,1292,11,1.0,0.9166666666666667,0.9583333333333334
0,106,60,1,1.0,0.9285714285714285,0.9642857142857142
0,106,108,1,1.0,0.9642857142857143,0.9821428571428572
0,106,127,1,1.0,0.875,0.9375
0,108,7,1,1.0,0.9166666666666667,0.9583333333333334
0,108,12,1,1.0,0.9166666666666667,0.9583333333333334
0,108,49,1,1.0,0.875,0.9375
0,108,65,1,1.0,0.9285714285714285,0.9642857142857142
0,108,141,1,1.0,0.96875,0.984375
0,108,195,1,1.0,0.9,0.95
0,109,287,2,1.0,0.75,0.875
0,110,65,1,1.0,0.9375,0.96875
0,110,102,1,1.0,0.9166666666666667,0.9583333333333334
0,110,226,2,1.0,0.9444444444444444,0.9722222222222222
0,110,309,2,1.0,0.75,0.875
0,111,268,2,1.0,0.75,0.875
0,112,284,2,1.0,0.75,0.875
0,113,20,1,1.0,0.9166666666666667,0.9583333333333334
0,114,102,1,1.0,0.9285714285714285,0.9642857142857142
0,114,265,2,1.0,0.75,0.875
0,114,1135,14,1.0,0.9,0.95
0,114,1292,11,1.0,0.9285714285714285,0.9642857142857142
0,115,20,1,1.0,0.9285714285714285,0.9642857142857142
0,115,65,1,1.0,0.9444444444444444,0.9722222222222222
0,116,65,1,1.0,0.9500000000000001,0.9750000000000001
0,118,7,1,1.0,0.9285714285714285,0.9642857142857142
0,118,12,1,1.0,0.9285714285714285,0.9642857142857142
0,118,65,1,1.0,0.9545454545454545,0.9772727272727273
0,118,81,1,1.0,0.9,0.95
0,118,108,1,1.0,0.9666666666666667,0.9833333333333334
0,118,127,1,1.0,0.9,0.95
0,118,318,4,1.0,0.75,0.875
0,119,1292,11,1.0,0.9375,0.96875
0,120,65,1,1.0,0.9583333333333333,0.9791666666666666
0,120,141,1,1.0,0.9705882352941176,0.9852941176470589
0,121,75,1,1.0,0.9,0.95
